Название,Композитор,Год создания,Автор текста,Музыкальный жанр,ID музыкального жанра,Тема,Ключевые слова
Богатыри,Чудова Татьяна Алексеевна,1971,Векшегонова И.,Кантаты,4.1,,
Прогулка по Москве,Чудова Татьяна Алексеевна,1976,Векшегонова И.,Прочие вокально-симфонические произведения,7.3,Родина,Москва
Звезды Кремля,Чудова Татьяна Алексеевна,,Векшегонова И.,Романсы и песни,6.1,Города,Москва
Знамя Победы,Чудова Татьяна Алексеевна,1984,Прокофьев Александр Андреевич; Чуриков; Бровка Петр Устинович; Глебка Петр Федорович,Кантаты,4.1,Великая Отечественая Война,
Симфония №3 «Молодая гвардия»,Чудова Татьяна Алексеевна,1984,,Симфонии,2.2,Великая Отечественая Война,Молодая гвардия
Русская сюита,Чудова Татьяна Алексеевна,1987,,Инструментальные произведения с оркестром,9.1,Родина,Россия
Русский Север,Чудова Татьяна Алексеевна,1980,,Инструментальные произведения с оркестром,9.1,Регионы,Север
Победа близка,Чудова Татьяна Алексеевна,1984,,Кантаты,4.1,,
Курская тишина,Чудова Татьяна Алексеевна,,,Романсы и песни,6.1,Великая Отечественая Война,
Красная площадь,Чудова Татьяна Алексеевна,,,Хоры,4.3,Родина,Москва
Мурманское танго,Чуев Михаил,,Михайлов,Романсы и песни,6.1,Города,Мурманск
Москва в названиях,Чуев Михаил,,Юнак,Романсы и песни,6.1,Города,Москва
Смоленское танго,Чуев Михаил,,Георгиев Геннадий,Романсы и песни,6.1,Города,Смоленск
Мытищи,Чуев Михаил,,Чуев Феликс,Романсы и песни,6.1,Города,Мытищи
У мемориала,Чулаки Михаил Иванович,1983,Грибачев Николай,Хоры,4.3,Великая Отечественая Война,память
Марш народного ополчения,Чулаки Михаил Иванович,1941,Рывина,Романсы и песни,6.1,Великая Отечественая Война,оборонная
Песня о Тимошенко,Чулаки Михаил Иванович,1940,Елена Рывина,Романсы и песни,6.1,Полководцы,С.К. Тимошенко
Умолкла труба полковая,Чулаки Михаил Иванович,,Лисянский Марк,Романсы и песни,6.1,,
На берегах Волхова,Чулаки Михаил Иванович,1944,Рождественский Всеволод,Кантаты,4.1,,
Симфония №2,Чулаки Михаил Иванович,1945,,Симфонии,2.2,Великая Отечественая Война,День Победы
Русская поляна,Чумаков Михаил,1963,Вершинин Михаил,Романсы и песни,6.1,Родина,Россия
Русский белый лес,Чумаков Михаил,1973,Надеинский,Романсы и песни,6.1,Природа,Россия
Моя Тува,Чыргал-Оол Алексей,1971,,"Увертюры, фантазии и другие сочинения для оркестра",2.4,Регионы,Тува
60 богатырей,Чыргал-Оол Алексей,1957,,"Увертюры, фантазии и другие сочинения для оркестра",2.4,,
Отчизна ,Чыргал-Оол Алексей,1974,,Кантаты,4.1,Родина,Россия
Воинская слава,Чыргал-Оол Алексей,1975,,Оратории,4.2,,
Проходит кавалерия,Шаинский Владимир Яковлевич,1970,Алшутов Александр,Романсы и песни,6.1,Вооруженные силы,кавалерия
Аджимушкай,Шаинский Владимир Яковлевич,1974,Дубровин,Романсы и песни,6.1,Великая Отечественая Война,Обороная Керчи
Уголок России,Шаинский Владимир Яковлевич,,Шевыелева,Романсы и песни,6.1,Родина,Родина
Солдат молоденький,Шаинский Владимир Яковлевич,,Львовский Михаил Григорьевич,Романсы и песни,6.1,Вооруженные силы,служба
Герои рядом с нами,Шаинский Владимир Яковлевич,,Кабаков,Романсы и песни,6.1,,
Победа,Шаинский Владимир Яковлевич,,Матусовский Михаил,Романсы и песни,6.1,Великая Отечественая Война,День Победы
Родина,Шаинский Владимир Яковлевич,,Ножкин Михаил,Романсы и песни,6.1,Родина,Россия
Песня солдат-богатырей,Шаинский Владимир Яковлевич,,Ножкин Михаил,Романсы и песни,6.1,,
Песеня о Володе Дубинине,Шаинский Владимир Яковлевич,,Олев Наум,Романсы и песни,6.1,Великая Отечественая Война,Дубинин Владимир; пионер-герой
Шло письмо,Шаинский Владимир Яковлевич,1972,Островой Сергей,Романсы и песни,6.1,Великая Отечественая Война,память
Через две зимы,Шаинский Владимир Яковлевич,,Пляцковский Михаил,Романсы и песни,6.1,Вооруженные силы,рекрутская
Идет солдат по городу,Шаинский Владимир Яковлевич,,Танич Михаил,Романсы и песни,6.1,Вооруженные силы,служба
"Не плачь, девчонка",Шаинский Владимир Яковлевич,,Харитонов Владимир,Романсы и песни,6.1,Вооруженные силы,рекрутская
Ветераны,Шаинский Владимир Яковлевич,1975,Харитонов Владимир,Романсы и песни,6.1,Великая Отечественая Война,ветераны
День Победы,Шамсутдинов Исмай,1970,Урайский,Романсы и песни,6.1,Великая Отечественая Война,День Победы
На поле Куликовом,Шапорин Юрий Александрович,1939,Блок Александр Александрович,Симфонии,2.2,Древняя Русь,Куликовская битва
Доколе коршуну кружить?,Шапорин Юрий Александрович,1963,Блок Александр Александрович; Рылеев; Симонов Константин Михайлович; Исаковский Михаил Васильевич,Оратории,4.2,Первая мировая война (1914-1918),
Сказание о битве за русскую землю,Шапорин Юрий Александрович,1944,Симонов Константин,Оратории,4.2,Великая Отечественая Война,
Под вечер примолкла война,Шапорин Юрий Александрович,,Сурков Алексей,Романсы и песни,6.1,Великая Отечественая Война,лирическая
Штурм Перекопа,Шапорин Юрий Александрович,,,Балеты,1.3,Гражданская война (1918-1922),Взятие Крыма
Минин и Пожарский,Шапорин Юрий Александрович,1939,,Музыка к кинофильмам,10.2,Польская интервенция (1612-1613),
Суворов,Шапорин Юрий Александрович,1940,,Музыка к кинофильмам,10.2,Полководцы,А.В. Суворов
Кутузов,Шапорин Юрий Александрович,1943,,Музыка к кинофильмам,10.2,Полководцы,М.И. Кутузов
